event_id,city,rule,target_date,source_value,completeness,band,lo,hi,floor,ceil,half_up,half_even,c_floor,c_ceil,c_half_up,c_half_even,frac
276889,Hong Kong,P_HKO_AbsDailyMax,2026-03-19,28.1,C,28°C or higher,28.0,,28,29,28,28,True,True,True,True,0.1
295996,Hong Kong,P_HKO_AbsDailyMax,2026-03-26,28.4,C,28°C or higher,28.0,,28,29,28,28,True,True,True,True,0.4
306339,Hong Kong,P_HKO_AbsDailyMax,2026-03-29,25.8,C,25°C,25.0,25.0,25,26,26,26,True,False,False,False,0.8
322481,Hong Kong,P_HKO_AbsDailyMax,2026-04-02,24.0,C,24°C,24.0,24.0,24,24,24,24,True,True,True,True,0.0
322532,Hong Kong,P_HKO_AbsDailyMax,2026-04-03,27.1,C,27°C,27.0,27.0,27,28,27,27,True,False,True,True,0.1
352644,Hong Kong,P_HKO_AbsDailyMax,2026-04-11,27.6,C,27°C,27.0,27.0,27,28,28,28,True,False,False,False,0.6
390825,Hong Kong,P_HKO_AbsDailyMax,2026-04-20,28.4,C,28°C,28.0,28.0,28,29,28,28,True,False,True,True,0.4
394297,Hong Kong,P_HKO_AbsDailyMax,2026-04-21,28.9,C,28°C,28.0,28.0,28,29,29,29,True,False,False,False,0.9
408592,Hong Kong,P_HKO_AbsDailyMax,2026-04-25,26.5,C,26°C,26.0,26.0,26,27,27,26,True,False,False,True,0.5
433186,Hong Kong,P_HKO_AbsDailyMax,2026-05-02,27.0,C,27°C,27.0,27.0,27,27,27,27,True,True,True,True,0.0
436622,Hong Kong,P_HKO_AbsDailyMax,2026-05-03,29.6,C,29°C,29.0,29.0,29,30,30,30,True,False,False,False,0.6
439958,Hong Kong,P_HKO_AbsDailyMax,2026-05-04,27.6,C,26°C or higher,26.0,,27,28,28,28,True,True,True,True,0.6
443316,Hong Kong,P_HKO_AbsDailyMax,2026-05-05,23.0,C,23°C,23.0,23.0,23,23,23,23,True,True,True,True,0.0
469205,Hong Kong,P_HKO_AbsDailyMax,2026-05-12,31.6,C,31°C or higher,31.0,,31,32,32,32,True,True,True,True,0.6
476114,Hong Kong,P_HKO_AbsDailyMax,2026-05-14,29.2,C,29°C,29.0,29.0,29,30,29,29,True,False,True,True,0.2
479727,Hong Kong,P_HKO_AbsDailyMax,2026-05-15,27.4,C,27°C,27.0,27.0,27,28,27,27,True,False,True,True,0.4
500684,Hong Kong,P_HKO_AbsDailyMax,2026-05-21,31.5,C,31°C,31.0,31.0,31,32,32,32,True,False,False,False,0.5
536699,Hong Kong,P_HKO_AbsDailyMax,2026-05-31,30.9,C,30°C,30.0,30.0,30,31,31,31,True,False,False,False,0.9
553910,Hong Kong,P_HKO_AbsDailyMax,2026-06-05,34.6,C,34°C,34.0,34.0,34,35,35,35,True,False,False,False,0.6
566662,Hong Kong,P_HKO_AbsDailyMax,2026-06-08,30.9,C,30°C,30.0,30.0,30,31,31,31,True,False,False,False,0.9
585974,Hong Kong,P_HKO_AbsDailyMax,2026-06-14,29.5,C,29°C,29.0,29.0,29,30,30,30,True,False,False,False,0.5
631928,Hong Kong,P_HKO_AbsDailyMax,2026-06-27,30.2,C,30°C,30.0,30.0,30,31,30,30,True,False,True,True,0.2
646490,Hong Kong,P_HKO_AbsDailyMax,2026-07-01,33.5,C,33°C,33.0,33.0,33,34,34,34,True,False,False,False,0.5
657477,Hong Kong,P_HKO_AbsDailyMax,2026-07-04,32.6,C,32°C,32.0,32.0,32,33,33,33,True,False,False,False,0.6
661251,Hong Kong,P_HKO_AbsDailyMax,2026-07-05,33.0,C,33°C,33.0,33.0,33,33,33,33,True,True,True,True,0.0
682944,Hong Kong,P_HKO_AbsDailyMax,2026-07-11,34.2,C,34°C,34.0,34.0,34,35,34,34,True,False,True,True,0.2
690243,Hong Kong,P_HKO_AbsDailyMax,2026-07-13,33.8,C,33°C,33.0,33.0,33,34,34,34,True,False,False,False,0.8
693920,Hong Kong,P_HKO_AbsDailyMax,2026-07-14,28.8,C,28°C,28.0,28.0,28,29,29,29,True,False,False,False,0.8
697509,Hong Kong,P_HKO_AbsDailyMax,2026-07-15,28.8,C,28°C,28.0,28.0,28,29,29,29,True,False,False,False,0.8
724027,Hong Kong,P_HKO_AbsDailyMax,2026-07-22,33.4,C,33°C,33.0,33.0,33,34,33,33,True,False,True,True,0.4
731549,Hong Kong,P_HKO_AbsDailyMax,2026-07-24,33.7,C,33°C,33.0,33.0,33,34,34,34,True,False,False,False,0.7
741824,Hong Kong,P_HKO_AbsDailyMax,2026-07-26,28.3,C,28°C,28.0,28.0,28,29,28,28,True,False,True,True,0.3
766610,Hong Kong,P_HKO_AbsDailyMax,2026-07-31,27.6,C,27°C,27.0,27.0,27,28,28,28,True,False,False,False,0.6
814129,Hong Kong,P_HKO_AbsDailyMax,2026-08-10,35.4,C,35°C,35.0,35.0,35,36,35,35,True,False,True,True,0.4
847072,Hong Kong,P_HKO_AbsDailyMax,2026-08-16,33.6,C,33°C,33.0,33.0,33,34,34,34,True,False,False,False,0.6
869080,Hong Kong,P_HKO_AbsDailyMax,2026-08-20,29.7,C,29°C,29.0,29.0,29,30,30,30,True,False,False,False,0.7
874082,Hong Kong,P_HKO_AbsDailyMax,2026-08-21,31.5,C,31°C,31.0,31.0,31,32,32,32,True,False,False,False,0.5
914260,Hong Kong,P_HKO_AbsDailyMax,2026-08-28,32.2,C,32°C,32.0,32.0,32,33,32,32,True,False,True,True,0.2
