event_id,st,d,n_cat,n_store,prefix_by_id,prefix_by_lo
515710,EHAM,2026-05-25,11,1,true,true
515712,MPMG,2026-05-25,11,1,true,true
550238,KORD,2026-06-04,11,1,true,true
550248,LIMC,2026-06-04,11,1,true,true
460722,ZSQD,2026-05-10,11,11,true,true
496998,KORD,2026-05-20,11,1,true,true
497004,RJTT,2026-05-20,11,1,true,true
550239,LTAC,2026-06-04,11,1,true,true
568046,WSSS,2026-06-09,11,1,true,true
568082,WMKK,2026-06-09,11,1,true,true
603550,ZUCK,2026-06-19,11,1,true,true
693939,FACT,2026-07-14,11,1,true,true
341802,CYYZ,2026-04-08,11,11,true,true
390833,ZBAA,2026-04-20,11,11,true,true
408584,KMIA,2026-04-25,11,11,true,true
408595,LIMC,2026-04-25,11,11,true,true
426252,ZBAA,2026-04-30,11,11,true,true
443304,KSEA,2026-05-05,11,11,true,true
443344,FACT,2026-05-05,11,11,true,true
460677,ZUCK,2026-05-10,11,11,true,true
479730,LIMC,2026-05-15,11,11,true,true
479754,DNMM,2026-05-15,11,11,true,true
536681,EGLC,2026-05-31,11,3,true,true
603543,RKSI,2026-06-19,11,3,true,true
620941,LEMD,2026-06-24,11,1,true,true
657631,EDDM,2026-07-04,11,1,true,true
356059,EGLC,2026-04-12,11,11,true,true
359529,CYYZ,2026-04-13,11,11,true,true
426251,ZUCK,2026-04-30,11,11,true,true
479747,RKPK,2026-05-15,11,11,true,true
515642,EDDM,2026-05-25,11,1,true,true
515700,ZGSZ,2026-05-25,11,1,true,true
515742,RPLL,2026-05-25,11,1,true,true
560823,EGLC,2026-06-06,11,3,true,true
585984,LIMC,2026-06-14,11,1,true,true
603721,EPWA,2026-06-19,11,1,true,true
620953,EFHK,2026-06-24,11,1,true,true
639550,EPWA,2026-06-29,11,1,true,true
657641,FACT,2026-07-04,11,1,true,true
660810,KMIA,2026-07-04,11,1,true,true
341855,MMMX,2026-04-08,11,11,true,true
359541,RJTT,2026-04-13,11,11,true,true
359569,RCSS,2026-04-13,11,11,true,true
426237,KORD,2026-04-30,11,11,true,true
443315,RJTT,2026-05-05,11,11,true,true
443319,LIMC,2026-05-05,11,11,true,true
443349,OPKC,2026-05-05,11,11,true,true
460659,KORD,2026-05-10,11,11,true,true
460676,RCSS,2026-05-10,11,11,true,true
479761,RPLL,2026-05-15,11,11,true,true
731559,ZUUU,2026-07-24,11,1,true,true
831678,EFHK,2026-08-13,11,1,true,true
883963,LFPB,2026-08-23,11,1,true,true
945932,ZSJN,2026-09-02,11,1,true,true
550257,KAUS,2026-06-04,11,1,true,true
550298,RPLL,2026-06-04,11,1,true,true
568035,EGLC,2026-06-09,11,3,true,true
603725,EFHK,2026-06-19,11,1,true,true
